genre,rating
Military,8.57
Mystery,8.57
Police,8.57
Sci-Fi,8.57
Seinen,8.57
Action,8.57
Adventure,8.57
Comedy,8.57
Drama,8.57
Shounen,8.57
Supernatural,8.57
Action,8.57
Mystery,8.57
Romance,8.57
Supernatural,8.57
Thriller,8.57
Action,8.57
Historical,8.57
Military,8.57
Seinen,8.57
Comedy,8.56
Drama,8.56
School,8.56
Shounen,8.56
Sports,8.56
Josei,8.56
Slice of Life,8.56
Military,8.55
School,8.55
Action,8.55
Comedy,8.55
Slice of Life,8.55
Supernatural,8.55
Comedy,8.55
Drama,8.55
Music,8.55
Romance,8.55
Shoujo,8.55
Slice of Life,8.55
Action,8.54
Comedy,8.54
Historical,8.54
Mystery,8.54
Seinen,8.54
Supernatural,8.54
Adventure,8.54
Fantasy,8.54
Historical,8.54
Mystery,8.54
Seinen,8.54
Slice of Life,8.54
Supernatural,8.54
Action,8.54
Drama,8.54
Fantasy,8.54
Shounen,8.54
Super Power,8.54
Comedy,8.53
Drama,8.53
Romance,8.53
Shounen,8.53
Comedy,8.53
Drama,8.53
Romance,8.53
School,8.53
Sports,8.53
Romance,8.53
School,8.53
Shounen Ai,8.53
Slice of Life,8.53
Action,8.53
Mecha,8.53
Sci-Fi,8.53
Drama,8.53
Horror,8.53
Mystery,8.53
Sci-Fi,8.53
Supernatural,8.53
Action,8.53
Drama,8.53
Military,8.53
Sci-Fi,8.53
Space,8.53
Drama,8.52
Game,8.52
Josei,8.52
Slice of Life,8.52
Sports,8.52
Action,8.51
Fantasy,8.51
Supernatural,8.51
Action,8.51
Adventure,8.51
Shounen,8.51
Supernatural,8.51
Vampire,8.51
Drama,8.51
Magic,8.51
Psychological,8.51
Thriller,8.51
Comedy,8.52
School,8.52
Slice of Life,8.52
Action,8.5
Police,8.5
Psychological,8.5
Sci-Fi,8.5
Comedy,8.5
Slice of Life,8.5
Comedy,8.5
School,8.5
Shounen,8.5
Sports,8.5
Action,8.5
Adventure,8.5
Fantasy,8.5
Magic,8.5
Shounen,8.5
Drama,8.5
Magic,8.5
Psychological,8.5
Thriller,8.5
Comedy,8.5
Drama,8.5
Sports,8.5
Action,8.5
Adventure,8.5
Comedy,8.5
Historical,8.5
Samurai,8.5
Shounen,8.5
Ecchi,8.5
School,8.5
Shounen,8.5
Action,8.49
Adventure,8.49
Historical,8.49
Martial Arts,8.49
Romance,8.49
Drama,8.49
Magic,8.49
Psychological,8.49
Thriller,8.49
Comedy,8.49
Drama,8.49
Sports,8.49
Demons,8.49
Fantasy,8.49
Historical,8.49
Horror,8.49
Mystery,8.49
Seinen,8.49
Supernatural,8.49
Comedy,8.49
Drama,8.49
Drama,8.48
Sports,8.48
Action,8.48
Adventure,8.48
Shounen,8.48
Super Power,8.48
Action,8.48
Adventure,8.48
Shounen,8.48
Supernatural,8.48
Drama,8.48
Josei,8.48
Music,8.48
Romance,8.48
School,8.48
Adventure,8.48
Comedy,8.48
Supernatural,8.48
Action,8.47
Mecha,8.47
Military,8.47
Police,8.47
Sci-Fi,8.47
Seinen,8.47
Adventure,8.47
Fantasy,8.47
Adventure,8.47
Comedy,8.47
Ecchi,8.47
Fantasy,8.47
Game,8.47
Supernatural,8.47
Adventure,8.47
Drama,8.47
Historical,8.47
Slice of Life,8.47
Action,8.47
Comedy,8.47
Demons,8.47
Fantasy,8.47
Martial Arts,8.47
School,8.47
Shounen,8.47
Action,8.46
Adventure,8.46
Slice of Life,8.46
Comedy,8.46
School,8.46
Shounen,8.46
Sports,8.46
Comedy,8.46
Drama,8.46
Josei,8.46
Music,8.46
Romance,8.46
Slice of Life,8.46
Adventure,8.46
Fantasy,8.46
Historical,8.46
Romance,8.46
Action,8.45
Fantasy,8.45
Shoujo,8.45
Supernatural,8.45
Sci-Fi,8.46
Thriller,8.46
Action,8.45
Fantasy,8.45
Magic,8.45
Shounen,8.45
Supernatural,8.45
Drama,8.45
Fantasy,8.45
Mystery,8.45
Supernatural,8.45
Vampire,8.45
Dementia,8.45
Drama,8.45
Mecha,8.45
Psychological,8.45
Sci-Fi,8.45
Comedy,8.45
Romance,8.45
School,8.45
Slice of Life,8.45
Adventure,8.44
Drama,8.44
Romance,8.44
Sci-Fi,8.44
Action,8.44
Adventure,8.44
Drama,8.44
Fantasy,8.44
Romance,8.44
Shounen,8.44
Comedy,8.43
Mystery,8.43
Supernatural,8.43
Action,8.43
Adventure,8.43
Comedy,8.43
Historical,8.43
Romance,8.43
Samurai,8.43
Action,8.43
Adventure,8.43
Historical,8.43
Samurai,8.43
Adventure,8.42
Mystery,8.42
Police,8.42
Shounen,8.42
Action,8.42
Fantasy,8.42
Magic,8.42
Shounen,8.42
Supernatural,8.42
Comedy,8.42
Drama,8.42
Shounen,8.42
Sports,8.42
Action,8.42
Mecha,8.42
Military,8.42
Sci-Fi,8.42
Shounen,8.42
Space,8.42
Action,8.42
Adventure,8.42
Ecchi,8.42
Fantasy,8.42
Shounen,8.42
Supernatural,8.42
Drama,8.42
Fantasy,8.42
Shoujo,8.42
Slice of Life,8.42
Supernatural,8.42
Action,8.42
Adventure,8.42
Comedy,8.42
Drama,8.42
Fantasy,8.42
Shounen,8.42
Mystery,8.41
Psychological,8.41
Supernatural,8.41
Thriller,8.41
Action,8.41
Adventure,8.41
Shounen,8.41
Super Power,8.41
Action,8.41
Adventure,8.41
Shounen,8.41
Super Power,8.41
Comedy,8.41
Demons,8.41
Fantasy,8.41
Historical,8.41
Mystery,8.41
Shounen,8.41
Supernatural,8.41
Comedy,8.41
Drama,8.41
Shounen,8.41
Sports,8.41
Psychological,8.41
Seinen,8.41
Sports,8.41
Comedy,8.4
Drama,8.4
Music,8.4
Shounen,8.4
Slice of Life,8.4
Action,8.4
Adventure,8.4
Demons,8.4
Drama,8.4
Fantasy,8.4
Horror,8.4
Military,8.4
Romance,8.4
Seinen,8.4
Supernatural,8.4
Action,8.4
Drama,8.4
Mystery,8.4
Sci-Fi,8.4
Space,8.4
Drama,8.4
Shounen,8.4
Sports,8.4
Action,8.4
Drama,8.4
Mecha,8.4
